Wall time,Step,Value
1638595555.599118,55983,4.8012166023254395
1638595560.864433,56012,5.087291240692139
1638595611.4495087,56292,4.9551191329956055
1638595645.7141757,56482,4.913761138916016
1638595702.2674236,56794,4.848763942718506
1638595727.4352176,56933,4.914580821990967
1638595732.299838,56960,5.225894927978516
1638595751.5216508,57067,3.0115585327148438
1638595815.6887696,57413,4.932363986968994
1638595822.7822244,57452,5.047332286834717
1638595884.6163473,57793,5.206727504730225
1638595903.9266737,57899,4.7334818840026855
1638595912.3558626,57945,5.2064714431762695
1638595918.5994585,57979,5.019931793212891
1638595957.129856,58171,4.906985759735107
1638596030.4006588,58398,3.226924419403076
1638596033.034159,58406,4.862668991088867
1638596047.6122928,58448,5.052674293518066
1638596103.7911956,58616,3.264678478240967
1638596117.5251613,58656,4.883950710296631
1638596154.9823604,58767,4.993793964385986
1638596189.2840824,58866,4.879108905792236
1638596254.4294963,59058,5.113722801208496
1638596398.1944885,59486,5.125826835632324
1638596420.9578512,59554,4.876891613006592
1638596572.9102757,60002,4.864956855773926
1638596667.7057588,60281,4.885017395019531
1638596719.7014422,60432,4.753612518310547
1638596897.5788026,60959,4.861270427703857
1638596971.9086096,61179,4.674862861633301
1638596985.7931137,61220,4.975390911102295
1638597041.971243,61387,4.8426313400268555
1638597046.202812,61399,5.084805011749268
1638597165.3046222,61743,4.968074321746826
1638597220.019602,61905,3.142883777618408
1638597242.335578,61970,3.4241034984588623
1638597249.5178156,61991,3.09256911277771
1638597270.6275053,62053,4.936784267425537
1638597280.2066028,62082,4.914730548858643
1638597369.0566964,62345,4.99989652633667
1638597383.4095073,62387,5.138493061065674
1638597532.770429,62821,4.929173946380615
1638597582.9769874,62969,5.23773717880249
1638597678.6259298,63249,4.857400417327881
1638597786.12018,63569,3.1680991649627686
1638597804.509951,63623,4.981889247894287
1638597826.4484477,63688,4.978928565979004
1638597900.2105536,63906,4.912134647369385
1638597963.1506739,64092,4.828307151794434
1638598100.2499137,64500,5.05264139175415
1638598235.3809185,64895,3.090221881866455
1638598246.976337,64929,5.180897235870361
1638598383.7022846,65326,4.923000335693359
1638598414.424842,65418,4.802835941314697
1638598423.978312,65446,4.98862886428833
